วันที่,รายละเอียด,เงินออก,เงินเข้า,คงเหลือ
01/03/2026,โอนไป PromptPay ร้านกาแฟบ้านสวน,120.00,,48200.50
02/03/2026,รับโอนจาก บริษัท แสงทอง จำกัด,,85000.00,133200.50
03/03/2026,ชำระค่าไฟฟ้า การไฟฟ้าส่วนภูมิภาค,1850.75,,131349.75
05/03/2026,Transfer to SCB x1234 ออมทรัพย์ตัวเอง,20000.00,,111349.75
07/03/2026,Grab Food ค่าอาหารกลางวัน,285.00,,111064.75
08/03/2026,เงินเดือนประจำเดือน ก.พ. 2569,,45000.00,156064.75
10/03/2026,ค่าเช่าคอนโด มี.ค. โอนไป 089xxxxxxx,15000.00,,141064.75
12/03/2026,7-Eleven สาขาอโศก,126.50,,140938.25
15/03/2026,รับโอนจากลูกค้า A โปรเจกต์เว็บไซต์,,25000.00,165938.25
18/03/2026,ประกันสังคม,750.00,,165188.25
